LOGINID,OUTLETCODE,TOTAL_ORDERS,ORDERS_AND_(SALES_OR_RECOMMENDATION),TRENDING_IN_ORDERS,TRENDING_IN_RECOMMENDATIONS,TOTAL_RECOMMENDATIONS,MATCHED_TRENDING_RECOMMENDATIONS,PRINCE_RATIO,VANSHIKA_RATIO,HARSH_RATIO
DSR-GT-KER-500,PH118147,5,5,0,0,8,0,0.0,0.0,1.0,
DSR-GT-EUP-743,PH128850,3,1,0,2,5,0,0.0,0.0,1.0,
DSR-CMN-KER-741,MGS02173,36,17,3,4,18,3,100.0,17.647058823529413,0.0,
DSR-EUP-394,DS021558,5,4,2,3,5,2,100.0,50.0,1.0,
DSR-KNUC-276,PH078384,9,4,4,5,5,4,100.0,100.0,1.0,
DSR-APUC-218,DS022685,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-ROM-412,PH040918,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-PUNE-361,PH039921,1,1,1,5,9,1,100.0,100.0,1.0,
DSR-SPT-MUM-658,PS009641,23,7,1,4,17,1,100.0,14.285714285714285,0.0,
DSR-APUC-218,NSC00198,2,1,1,2,5,1,100.0,100.0,1.0,
DSR-ROE-446,PH111889,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-APUC-009,DS005223,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-MUM-315,PH011823,14,8,4,4,7,3,75.0,50.0,1.0,
DSR-CMN-KNUC-473,PH104008,2,1,1,4,5,1,100.0,100.0,1.0,
DSR-MUM-130,PH050956,5,4,3,4,9,2,66.66666666666666,75.0,1.0,
DSR-CMN-KNUC-473,PS020309,2,2,1,5,9,1,100.0,50.0,0.0,
DSR-GT-PUNE-779,PH003937,6,2,2,4,7,1,50.0,100.0,1.0,
DSR-ROM-215,PH028646,5,4,3,5,9,3,100.0,75.0,1.0,
DSR-SPT-JK-520,PS015143,7,3,0,5,5,0,0.0,0.0,1.0,
DSR-ROM-135,PS014015,9,6,4,3,5,3,75.0,66.66666666666666,1.0,
DSR-CMN-ROE-558,TS000421,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-MP-320,TG001235,2,2,0,4,5,0,0.0,0.0,0.0,
DSR-CMN-KNUC-642,PH102799,4,1,1,1,3,1,100.0,100.0,1.0,
DSR-ROM-423,PS008105,6,2,0,5,5,0,0.0,0.0,1.0,
DSR-MUM-291,PH093361,8,4,4,5,6,4,100.0,100.0,1.0,
DSR-NCR-038,PH022325,2,2,2,2,2,2,100.0,100.0,1.0,
DSR-TNUC-312,PH111956,2,2,0,2,5,0,0.0,0.0,1.0,
DSR-KNUC-430,PH102976,2,1,1,1,10,0,0.0,100.0,1.0,
DSR-KNUC-430,PH103058,3,3,0,1,10,0,0.0,0.0,1.0,
DSR-CMN-KER-620,MGS00933,2,1,0,3,5,0,0.0,0.0,0.0,
DSR-SPT-NCR-413,PS022187,9,6,0,4,10,0,0.0,0.0,0.0,
DSR-NE-275,PH094187,2,2,1,3,5,1,100.0,50.0,0.0,
DSR-GT-ROM-704,DS002275,14,7,0,3,17,0,0.0,0.0,0.0,
DSR-GOA-153,DS016912,19,3,1,3,14,1,100.0,33.33333333333333,1.0,
FSA-CMN-ROE-098,PH103994,2,2,0,5,12,0,0.0,0.0,0.0,
DSR-MUM-315,PH060009,19,13,5,4,21,4,80.0,38.46153846153847,1.0,
DSR-CMN-KER-843,MGS004231,13,8,1,5,23,1,100.0,12.5,0.0,
DSR-KNUC-430,PH103067,4,2,2,1,10,0,0.0,100.0,1.0,
DSR-CMN-KER-588,PH082933,3,3,2,5,6,2,100.0,66.66666666666666,0.0,
DSR-MUM-126,DS007855,11,5,2,4,5,2,100.0,40.0,1.0,
DSR-NCR-037,PH128921,1,1,0,4,5,0,0.0,0.0,1.0,
DSR-KER-342,MGS00229,6,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-MUM-684,PH024330,3,2,2,4,6,1,50.0,100.0,1.0,
DSR-NE-275,PH128896,2,2,1,1,5,1,100.0,50.0,1.0,
DSR-CMN-KNUC-473,CL002039,5,4,2,4,9,2,100.0,50.0,1.0,
DSR-MPC-374,MGS005407,12,6,0,3,15,0,0.0,0.0,0.0,
DSR-NE-322,PH123287,2,1,0,2,5,0,0.0,0.0,0.0,
DSR-MUM-315,PH002766,10,4,1,4,10,0,0.0,25.0,0.0,
DSR-KNUC-305,DS008284,7,6,4,4,6,4,100.0,66.66666666666666,1.0,
DSR-KNUC-304,MGS006511,1,1,0,4,5,0,0.0,0.0,0.0,
DSR-GT-KER-820,PH115976,4,4,1,1,5,0,0.0,25.0,0.0,
DSR-CMN-KER-727,PH123113,5,5,3,3,5,3,100.0,60.0,1.0,
DSR-GT-CHN-580,TG007909,7,5,3,3,5,3,100.0,60.0,1.0,
DSR-CMN-GUJ-522,PH089125,1,1,0,4,5,0,0.0,0.0,0.0,
DSR-HYD-002,TG000036,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-PUNJ-191,DS015062,2,2,0,4,5,0,0.0,0.0,0.0,
DSR-UP-383,PH117979,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-GOA-153,DS004930,6,4,2,5,7,2,100.0,50.0,0.0,
DSR-GT-GOA-566,TG023848,2,1,1,1,5,1,100.0,100.0,1.0,
DSR-CMN-PUNJ-490,PH008329,4,4,2,4,5,2,100.0,50.0,1.0,
DSR-CMN-KER-770,PH063095,7,6,3,4,8,3,100.0,50.0,1.0,
DSR-GT-MUM-496,PH022204,7,6,3,4,13,3,100.0,50.0,1.0,
DSR-ROM-412,PH076031,1,1,0,0,2,0,0.0,0.0,1.0,
DSR-NE-275,PH123788,4,2,1,3,5,0,0.0,50.0,1.0,
DSR-CMN-KNUC-473,PH110367,4,4,3,4,5,3,100.0,75.0,0.0,
DSR-KNUC-304,PH036956,7,4,2,5,8,2,100.0,50.0,1.0,
DSR-SPT-MUM-658,PS021182,14,6,4,5,5,4,100.0,66.66666666666666,1.0,
DSR-BGLR-094,DS001880,15,8,3,5,22,3,100.0,37.5,1.0,
DSR-GT-WUP-667,WP001078,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-GOA-153,PH049586,2,1,0,3,5,0,0.0,0.0,0.0,
DSR-GT-PUNE-706,PH003540,5,5,1,4,12,1,100.0,20.0,0.0,
DSR-BGLR-082,PH091775,7,5,0,3,10,0,0.0,0.0,0.0,
DSR-CMN-KER-808,PH023978,2,2,0,1,5,0,0.0,0.0,1.0,
DSR-GT-NCR-857,PH054203,4,3,1,2,5,1,100.0,33.33333333333333,1.0,
DSR-GT-MUM-684,PH094061,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-CHN-114,PH001388,6,4,2,3,7,2,100.0,50.0,1.0,
DSR-SPT-KER-072,PS011513,4,4,0,3,7,0,0.0,0.0,0.0,
DSR-BGLR-094,DS001881,8,4,0,4,11,0,0.0,0.0,0.0,
DSR-CMN-KNUC-764,PH080864,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-CHN-109,TS001146,6,5,2,4,5,2,100.0,40.0,0.0,
DSR-NCR-039,DS001228,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-GOA-441,TG014085,8,7,2,3,6,1,50.0,28.57142857142857,1.0,
DSR-KNUC-179,PH012314,5,5,1,4,11,1,100.0,20.0,0.0,
DSR-APUC-171,PH091823,6,2,1,5,10,1,100.0,50.0,1.0,
DSR-GT-NCR-649,PH044397,3,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-TNUC-310,PH059139,9,4,2,4,5,2,100.0,50.0,1.0,
DSR-GT-MUM-684,PH096712,6,5,4,4,13,4,100.0,80.0,1.0,
DSR-ROE-299,CL004955,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-KNUC-276,PS018384,9,2,2,5,16,2,100.0,100.0,1.0,
DSR-CMN-HAR-780,PH104388,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-NCR-328,PH028857,5,3,1,4,5,1,100.0,33.33333333333333,1.0,
DSR-CMN-EUP-665,PH077027,2,2,0,3,5,0,0.0,0.0,0.0,
DSR-GUJ-151,PH121145,3,2,2,2,5,2,100.0,100.0,1.0,
DSR-ROM-412,PH043565,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-TNUC-310,PH103919,4,3,2,3,5,2,100.0,66.66666666666666,1.0,
DSR-SPT-PUNE-543,PS018144,7,2,0,0,6,0,0.0,0.0,1.0,
DSR-NCR-039,DS016972,2,2,2,3,5,2,100.0,100.0,1.0,
FSA-SPT-CHN-048,PS000221,4,1,0,2,5,0,0.0,0.0,0.0,
DSR-SPT-NCR-402,PS021813,6,1,1,4,5,1,100.0,100.0,1.0,
DSR-CMN-KNUC-473,DS023085,4,4,3,4,5,3,100.0,75.0,0.0,
FSA-SPT-NCR-018,PS022417,8,2,2,5,5,2,100.0,100.0,1.0,
DSR-CHN-442,DS005118,5,5,3,4,7,3,100.0,60.0,1.0,
DSR-SPT-TN-510,PS022873,10,6,0,1,9,0,0.0,0.0,0.0,
FSA-GT-HYD-009,PH025680,6,4,0,2,5,0,0.0,0.0,0.0,
DSR-PUNE-137,PH022654,4,4,4,5,17,4,100.0,100.0,1.0,
DSR-CMN-PUNJ-822,PH024875,4,3,3,5,5,3,100.0,100.0,1.0,
DSR-MPC-407,PH058231,3,3,3,5,5,3,100.0,100.0,1.0,
DSR-CMN-EUP-668,PH121394,1,1,1,1,2,0,0.0,100.0,1.0,
DSR-CMN-KER-770,MGS01063,3,1,0,4,5,0,0.0,0.0,0.0,
DSR-KNUC-305,PH027757,6,5,4,4,5,4,100.0,80.0,1.0,
DSR-E/UP-173,PH114612,1,1,1,1,2,1,100.0,100.0,1.0,
DSR-MUM-291,PH093351,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-CMN-KER-637,MGS01578,3,3,2,4,13,2,100.0,66.66666666666666,1.0,
DSR-GT-MUM-656,PH002847,2,1,0,3,5,0,0.0,0.0,1.0,
DSR-CMN-EUP-668,PM000541,1,1,1,0,2,0,0.0,100.0,1.0,
DSR-PUNE-361,DS013800,3,2,1,2,5,1,100.0,50.0,1.0,
DSR-GT-MUM-526,WP002273,24,12,2,4,18,2,100.0,16.666666666666664,0.0,
DSR-GUJ-151,PH109917,3,3,3,3,5,3,100.0,100.0,1.0,
DSR-GT-MUM-702,PH060738,19,12,3,4,20,2,66.66666666666666,25.0,0.0,
DSR-PUNE-149,PM000463,7,4,0,5,12,0,0.0,0.0,0.0,
DSR-PUNE-139,DS008886,4,3,0,3,5,0,0.0,0.0,0.0,
DSR-ROM-135,CL002000,16,11,4,4,10,4,100.0,36.36363636363637,1.0,
DSR-NCR-039,MGS02863,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-MP-230,PH128640,3,3,2,4,6,2,100.0,66.66666666666666,1.0,
DSR-KOL-434,CL002122,12,7,1,5,28,1,100.0,14.285714285714285,0.0,
DSR-CMN-PUNJ-519,PH013194,4,4,4,5,5,4,100.0,100.0,1.0,
DSR-KNUC-276,PH027700,5,4,4,5,5,4,100.0,100.0,1.0,
DSR-CMN-HP-787,PH092511,2,2,2,0,10,0,0.0,100.0,1.0,
DSR-GT-MUM-518,TG021553,5,3,0,3,5,0,0.0,0.0,0.0,
DSR-GOA-153,TG014101,1,1,0,0,1,0,0.0,0.0,1.0,
DSR-GT-DEL-859,PH110894,4,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-BGLR-085,PH056730,3,3,0,4,7,0,0.0,0.0,0.0,
DSR-MUM-124,PH001872,11,9,4,4,18,3,75.0,44.44444444444444,1.0,
DSR-CMN-AP-472,PH112645,1,1,1,1,5,0,0.0,100.0,1.0,
DSR-GUJ-151,PH032587,3,3,3,5,5,3,100.0,100.0,1.0,
DSR-APUC-270,MGS007268,4,4,3,3,5,3,100.0,75.0,1.0,
DSR-CHN-112,PH101774,9,2,1,5,9,1,100.0,50.0,0.0,
DSR-BGLR-082,PH000699,7,6,1,4,6,1,100.0,16.666666666666664,0.0,
DSR-MP-320,PH004123,5,3,2,3,5,2,100.0,66.66666666666666,1.0,
DSR-MUM-134,PH059254,2,2,0,2,5,0,0.0,0.0,0.0,
DSR-KNUC-430,PH107121,2,1,1,1,10,0,0.0,100.0,1.0,
DSR-PUNJ-190,PH090296,3,3,3,3,5,3,100.0,100.0,1.0,
DSR-GOA-153,TG013775,3,2,1,3,5,1,100.0,50.0,1.0,
DSR-CMN-KER-501,PM001286,5,3,1,4,7,1,100.0,33.33333333333333,1.0,
DSR-ROM-350,PH064604,2,2,0,0,5,0,0.0,0.0,1.0,
DSR-PUNJ-404,PH042037,2,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-MUM-761,PH105834,5,3,1,4,8,1,100.0,33.33333333333333,1.0,
DSR-KNUC-305,CL000966,6,6,4,4,7,4,100.0,66.66666666666666,1.0,
DSR-GT-NCR-760,PH058445,3,3,1,4,10,1,100.0,33.33333333333333,1.0,
DSR-PUNJ-191,TG005168,2,1,0,2,5,0,0.0,0.0,1.0,
DSR-GT-MUM-525,PH001815,5,5,2,4,13,1,50.0,40.0,0.0,
DSR-ROM-412,PH040806,2,2,2,5,10,2,100.0,100.0,1.0,
DSR-GT-KER-820,DS003898,15,9,0,4,28,0,0.0,0.0,0.0,
DSR-CMN-ROM-799,PH027191,7,6,2,4,6,2,100.0,33.33333333333333,1.0,
DSR-CMN-KER-718,PH116146,2,2,0,1,5,0,0.0,0.0,1.0,
DSR-KER-068,PH052839,6,4,2,4,5,2,100.0,50.0,0.0,
DSR-NCR-032,PH087898,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-ROM-215,PH121330,11,6,4,4,12,3,75.0,66.66666666666666,1.0,
DSR-PUNE-148,PH043371,12,3,0,4,15,0,0.0,0.0,0.0,
DSR-GT-AP-479,PH041025,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-SPT-UK-730,PS021722,5,2,0,5,5,0,0.0,0.0,1.0,
DSR-GUJ-151,PH124635,3,3,3,3,5,3,100.0,100.0,1.0,
DSR-KER-355,PS010356,3,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-GT-ROE-527,DS016054,1,1,0,5,5,0,0.0,0.0,1.0,
DSR-CMN-KNUC-473,DS017495,6,5,4,4,5,4,100.0,80.0,1.0,
DSR-ROM-207,PH107329,1,1,1,3,4,1,100.0,100.0,1.0,
DSR-ROE-272,PS007621,1,1,1,3,7,1,100.0,100.0,1.0,
DSR-E/UP-313,PH129419,2,1,1,1,1,1,100.0,100.0,1.0,
DSR-MPC-407,PS006858,3,2,0,4,5,0,0.0,0.0,0.0,
DSR-CHN-110,MGS08033,9,4,2,5,13,2,100.0,50.0,1.0,
DSR-PUNJ-389,PH020435,1,1,0,1,10,0,0.0,0.0,1.0,
DSR-PUNJ-161,PS003752,4,4,3,5,5,3,100.0,75.0,1.0,
DSR-GT-GOA-566,DS001521,7,5,1,2,8,1,100.0,20.0,1.0,
DSR-MPC-376,PH110840,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-MUM-518,TG005343,2,2,1,1,4,1,100.0,50.0,1.0,
DSR-W/UP-176,PH013563,2,2,2,1,1,1,50.0,100.0,1.0,
DSR-NCR-341,PH004901,5,4,3,4,5,3,100.0,75.0,0.0,
DSR-ROM-223,PS003486,10,6,1,2,11,1,100.0,16.666666666666664,1.0,
DSR-CMN-ROE-676,PH127247,1,1,1,2,2,1,100.0,100.0,1.0,
DSR-CMN-ROE-686,MGS007239,2,2,2,3,5,1,50.0,100.0,1.0,
DSR-GT-NCR-649,DS018109,3,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-PUNE-148,PH093856,9,6,2,3,6,1,50.0,33.33333333333333,0.0,
DSR-CMN-PUNJ-519,PH051473,5,4,2,2,5,2,100.0,50.0,1.0,
DSR-MPC-371,PH116042,1,1,1,1,1,1,100.0,100.0,1.0,
DSR-GT-MUM-702,PH112274,1,1,1,3,4,0,0.0,100.0,1.0,
DSR-MUM-315,PH084948,3,3,2,2,5,1,50.0,66.66666666666666,1.0,
DSR-KER-077,PS012700,8,4,0,2,6,0,0.0,0.0,0.0,
DSR-GT-MUM-656,PH085488,5,3,2,4,5,1,50.0,66.66666666666666,1.0,
DSR-GOA-153,DS013580,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-ROM-350,PH093896,3,3,1,1,5,1,100.0,33.33333333333333,1.0,
DSR-CMN-KER-588,PH054681,5,5,3,4,5,3,100.0,60.0,0.0,
DSR-CMN-ROM-773,PH081616,1,1,0,4,5,0,0.0,0.0,1.0,
DSR-MUM-129,PH078164,6,4,1,5,6,1,100.0,25.0,0.0,
DSR-ROM-412,PH062883,1,1,0,1,4,0,0.0,0.0,0.0,
DSR-CMN-MPC-784,CL004965,2,2,2,2,5,1,50.0,100.0,1.0,
DSR-CMN-KER-641,PH117818,2,2,1,5,5,1,100.0,50.0,1.0,
DSR-BGLR-094,PH007488,3,2,0,4,5,0,0.0,0.0,0.0,
DSR-HAR-447,PS019009,8,5,0,5,8,0,0.0,0.0,0.0,
DSR-MUM-124,PH001863,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-GT-PUNE-778,PM000512,7,2,2,4,6,2,100.0,100.0,1.0,
DSR-ROM-215,WP000600,7,6,2,3,5,1,50.0,33.33333333333333,0.0,
DSR-SPT-GUJ-512,PS021371,26,18,4,4,18,4,100.0,22.22222222222222,1.0,
DSR-GT-PUNJ-514,DS015683,12,4,3,4,5,3,100.0,75.0,1.0,
DSR-ROM-350,PS013819,4,4,1,2,5,1,100.0,25.0,0.0,
DSR-CMN-EUP-668,PH066843,1,1,1,1,5,1,100.0,100.0,1.0,
DSR-CMN-KNUC-473,TG021457,6,5,2,5,13,2,100.0,40.0,1.0,
DSR-CMN-AP-472,PH107511,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-SPT-GUJ-605,CL004389,10,3,0,5,5,0,0.0,0.0,1.0,
DSR-MUM-291,PH085688,6,3,3,5,5,3,100.0,100.0,1.0,
DSR-NCR-341,DS019269,4,3,3,4,5,3,100.0,100.0,1.0,
DSR-GT-NCR-508,MGH000506,1,1,0,4,7,0,0.0,0.0,0.0,
DSR-SPT-PUNE-542,PS000406,3,1,0,0,5,0,0.0,0.0,1.0,
DSR-NE-194,DS018792,17,6,1,5,5,1,100.0,16.666666666666664,1.0,
DSR-NCR-039,MGS08739,3,2,1,4,5,1,100.0,50.0,1.0,
DSR-ROE-272,PS007623,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-PUNE-141,PH030562,5,3,1,4,7,0,0.0,33.33333333333333,0.0,
DSR-CMN-KNUC-555,PH053493,2,2,2,4,8,2,100.0,100.0,1.0,
DSR-CMN-KNUC-584,PH112660,5,4,1,0,10,0,0.0,25.0,1.0,
DSR-GUJ-150,PH127709,6,5,5,5,5,5,100.0,100.0,1.0,
DSR-E/UP-159,PH088639,1,1,0,3,5,0,0.0,0.0,0.0,
DSR-MUM-132,PH110293,7,6,3,5,10,3,100.0,50.0,1.0,
DSR-CMN-GUJ-522,PH085925,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-ROM-690,PH131101,1,1,0,0,2,0,0.0,0.0,1.0,
DSR-HAR-028,DS021379,5,4,3,4,5,3,100.0,75.0,0.0,
DSR-MUM-291,DS008667,7,5,0,4,24,0,0.0,0.0,0.0,
DSR-RAJ-229,MGS07943,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-CMN-KER-641,PH123211,2,2,1,3,4,1,100.0,50.0,0.0,
DSR-KNUC-430,PH102856,3,2,2,1,10,0,0.0,100.0,1.0,
DSR-APUC-009,PH027927,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-MUM-291,PH011766,7,4,3,5,6,3,100.0,75.0,0.0,
DSR-CMN-KNUC-584,PH049501,3,3,1,4,5,1,100.0,33.33333333333333,1.0,
DSR-KNUC-254,PH041724,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-SPT-MUM-539,CL000161,8,5,0,0,8,0,0.0,0.0,1.0,
DSR-GT-KER-500,DS004055,4,1,0,5,15,0,0.0,0.0,0.0,
DSR-SPT-PUNE-541,PS000359,2,2,0,3,25,0,0.0,0.0,0.0,
DSR-GUJ-150,PH127710,6,5,4,4,5,4,100.0,80.0,1.0,
DSR-PUNJ-354,PH058882,4,3,3,0,10,0,0.0,100.0,1.0,
DSR-KNUC-179,PH012273,2,2,0,5,5,0,0.0,0.0,1.0,
DSR-CMN-HAR-829,PH009275,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-KNUC-254,PH095909,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-AP-479,TG012330,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-MUM-291,DS022632,10,6,2,4,12,2,100.0,33.33333333333333,1.0,
DSR-MUM-148,PH047129,6,6,4,5,9,4,100.0,66.66666666666666,1.0,
DSR-APUC-218,PH035339,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-NCR-039,PH120952,2,1,1,1,2,1,100.0,100.0,1.0,
DSR-KER-076,PH086546,4,4,0,0,4,0,0.0,0.0,1.0,
DSR-GT-NCR-857,PH108573,1,1,1,2,6,1,100.0,100.0,1.0,
DSR-CMN-PUNJ-788,PH076529,4,4,2,1,2,1,50.0,50.0,1.0,
DSR-GOA-441,DS001529,6,2,0,1,5,0,0.0,0.0,0.0,
DSR-GT-WUP-661,PH128827,2,2,0,0,1,0,0.0,0.0,1.0,
DSR-E/UP-173,PH114614,2,2,1,2,5,1,100.0,50.0,1.0,
DSR-CMN-HAR-634,PH026884,1,1,0,0,10,0,0.0,0.0,1.0,
DSR-GT-UK-593,TG001819,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-PUNE-148,PH103687,6,1,0,4,8,0,0.0,0.0,1.0,
DSR-MUM-126,SM003115,9,9,2,4,23,1,50.0,22.22222222222222,0.0,
DSR-GT-NCR-649,PH022572,3,2,1,4,5,1,100.0,50.0,1.0,
DSR-MUM-291,PH057560,9,6,1,5,12,1,100.0,16.666666666666664,0.0,
DSR-RAJ-428,PH118179,2,1,1,1,5,1,100.0,100.0,1.0,
DSR-UP-384,MGH00063,2,1,0,1,4,0,0.0,0.0,1.0,
DSR-W/UP-175,PS015181,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-PUNE-139,PH075998,7,3,0,5,12,0,0.0,0.0,0.0,
DSR-CMN-PUNJ-788,PH043720,4,3,1,0,10,0,0.0,33.33333333333333,1.0,
DSR-CMN-PUNJ-370,CL000626,4,3,1,0,24,0,0.0,33.33333333333333,1.0,
DSR-MUM-127,PH014473,8,3,3,4,5,3,100.0,100.0,1.0,
DSR-KNUC-430,PH103061,4,4,1,1,10,1,100.0,25.0,1.0,
DSR-KER-352,PH103874,2,2,0,2,5,0,0.0,0.0,1.0,
DSR-GT-MUM-765,PH082159,7,7,3,5,7,3,100.0,42.857142857142854,0.0,
DSR-SPT-NCR-556,CL001510,2,2,1,3,5,1,100.0,50.0,0.0,
FSA-GT-HYD-010,DS000084,3,3,1,4,7,1,100.0,33.33333333333333,0.0,
DSR-MUM-291,TG008478,2,2,1,4,6,1,100.0,50.0,0.0,
FSA-SPT-MUM-059,PS013000,23,13,3,4,17,3,100.0,23.076923076923077,0.0,
DSR-CMN-EUP-601,CL004352,1,1,0,0,5,0,0.0,0.0,1.0,
DSR-CMN-ROM-777,PH012163,3,2,2,3,5,2,100.0,100.0,1.0,
DSR-GT-ROM-704,MGS02652,6,4,0,3,11,0,0.0,0.0,0.0,
DSR-GT-NCR-424,PH028526,6,2,2,5,5,2,100.0,100.0,1.0,
DSR-PUNJ-354,PH049284,4,3,3,0,10,0,0.0,100.0,1.0,
DSR-MPC-407,PH056168,3,2,1,4,5,1,100.0,50.0,1.0,
DSR-CMN-PUNJ-490,PH008327,4,3,1,3,5,1,100.0,33.33333333333333,1.0,
DSR-CHN-110,WP002913,22,12,3,5,14,3,100.0,25.0,1.0,
DSR-GT-MUM-793,PH084931,7,3,0,3,5,0,0.0,0.0,0.0,
DSR-ROE-380,TG023376,2,1,1,1,1,1,100.0,100.0,1.0,
DSR-PUNE-148,PH039699,3,3,3,5,10,3,100.0,100.0,1.0,
DSR-NCR-160,PH023752,16,13,1,2,27,1,100.0,7.6923076923076925,1.0,
DSR-GOA-441,PH042567,6,4,2,4,16,2,100.0,50.0,1.0,
DSR-CMN-PUNJ-788,PH044165,4,3,1,0,10,0,0.0,33.33333333333333,1.0,
DSR-E/UP-244,PS010930,5,5,4,5,6,4,100.0,80.0,0.0,
DSR-GT-BGLR-469,PH053361,4,3,2,5,5,2,100.0,66.66666666666666,1.0,
DSR-BGLR-398,PH038431,4,4,0,1,5,0,0.0,0.0,0.0,
DSR-GT-MUM-761,PH059724,2,2,0,4,6,0,0.0,0.0,0.0,
DSR-PUNJ-190,PH090260,3,2,2,2,5,2,100.0,100.0,1.0,
DSR-CMN-PUNJ-822,PH013686,9,8,4,3,5,3,75.0,50.0,1.0,
DSR-MPC-407,PH086363,2,2,1,4,5,1,100.0,50.0,1.0,
DSR-CMN-KER-637,PH054545,9,6,1,3,10,1,100.0,16.666666666666664,0.0,
DSR-GT-MUM-526,PH103660,4,2,1,3,5,1,100.0,50.0,1.0,
DSR-CMN-PUNJ-490,PH109304,3,3,2,3,5,2,100.0,66.66666666666666,1.0,
DSR-APUC-218,PH035933,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-CMN-ROM-497,PH044785,3,3,1,1,4,1,100.0,33.33333333333333,1.0,
DSR-HAR-028,DS018876,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-MPC-407,PS014501,8,8,3,3,5,2,66.66666666666666,37.5,0.0,
DSR-KNUC-430,TG021494,4,2,1,1,10,0,0.0,50.0,1.0,
DSR-WUP-393,PH035026,1,1,0,0,5,0,0.0,0.0,1.0,
FSA-SPT-MUM-063,CL000220,18,6,2,5,5,2,100.0,33.33333333333333,1.0,
DSR-NCR-037,PH125655,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-MUM-130,PH052791,4,3,1,3,5,1,100.0,33.33333333333333,0.0,
DSR-CMN-EUP-668,PH060211,1,1,1,0,4,0,0.0,100.0,1.0,
DSR-CMN-KER-620,PS013962,1,1,0,5,15,0,0.0,0.0,0.0,
DSR-CMN-BGLR-483,PS019052,2,1,1,5,11,1,100.0,100.0,1.0,
DSR-MPC-407,TG009767,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-CMN-ROE-558,PS015388,2,2,2,2,15,2,100.0,100.0,1.0,
DSR-KOL-434,TG013363,9,4,3,3,5,2,66.66666666666666,75.0,1.0,
DSR-MUM-291,MGS02540,5,2,1,4,7,1,100.0,50.0,0.0,
DSR-GUJ-121,PH027137,1,1,0,2,7,0,0.0,0.0,0.0,
DSR-KNUC-430,PH103066,2,1,1,1,10,1,100.0,100.0,1.0,
DSR-GUJ-120,PH027545,1,1,0,1,5,0,0.0,0.0,1.0,
DSR-ROE-298,PS004285,1,1,1,3,5,0,0.0,100.0,1.0,
DSR-NCR-039,PH005368,2,1,1,2,5,1,100.0,100.0,1.0,
DSR-GT-DEL-783,PH079501,1,1,0,4,5,0,0.0,0.0,1.0,
DSR-NE-275,CL004484,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-GT-DEL-859,WP002796,3,2,2,3,5,2,100.0,100.0,1.0,
DSR-NCR-163,PH043148,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-MUM-130,PH062903,4,3,2,4,5,2,100.0,66.66666666666666,1.0,
DSR-PUNE-149,PH065006,6,4,4,4,5,4,100.0,100.0,1.0,
DSR-APUC-353,TG020996,2,2,2,2,5,1,50.0,100.0,1.0,
DSR-PUNJ-202,PH046741,1,1,1,5,5,1,100.0,100.0,1.0,
